Trial Number,value now,Delay,Value later,Value later delay,Response,reaction time,SubID,Cond
25,20,0,36.6,2,1,0.8196,2,1
26,20,0,29.4,118,1,2.048,2,1
27,20,0,24,15,1,4.5183,2,1
28,20,0,24,29,0,5.1422,2,1
29,20,0,36.6,15,1,0.8561,2,1
30,20,0,70,29,1,1.0748,2,1
31,20,0,36.6,6,1,1.2234,2,1
32,20,0,41.4,15,1,1.2388,2,1
33,20,0,62,62,1,0.6759,2,1
34,20,0,20.4,2,0,1.1937,2,1
35,20,0,62,2,1,1.1395,2,1
36,20,0,21.6,15,0,2.0567,2,1
37,20,0,29.4,15,1,3.2044,2,1
38,20,0,46,118,1,3.1528,2,1
39,20,0,29.4,2,1,3.056,2,1
40,20,0,26.6,6,1,2.6803,2,1
41,20,0,24,62,0,1.5195,2,1
42,20,0,20.4,62,0,1.6084,2,1
43,20,0,30,6,1,1.6293,2,1
44,20,0,24,6,1,1.1981,2,1
45,20,0,20.4,6,0,1.3677,2,1
46,20,0,50,62,1,1.3259,2,1
47,20,0,30,15,1,1.3702,2,1
48,20,0,20.4,118,0,1.0021,2,1
49,20,0,29.4,62,1,1.925,2,1
50,20,0,41.4,2,1,1.0851,2,1
51,20,0,24,2,1,1.7634,2,1
52,20,0,34,118,1,2.7938,2,1
53,20,0,62,6,1,0.7855,2,1
54,20,0,50,2,1,0.5739,2,1
55,20,0,30,2,1,1.179,2,1
56,20,0,24,15,1,1.0617,2,1
57,20,0,41.4,62,1,0.9577,2,1
58,20,0,62,29,1,1.0897,2,1
59,20,0,46,29,1,1.5252,2,1
60,20,0,41.4,118,1,4.1172,2,1
61,20,0,46,6,1,0.9202,2,1
62,20,0,76,15,1,3.8314,2,1
63,20,0,24,118,0,5.0253,2,1
64,20,0,34,62,1,1.2082,2,1
65,20,0,62,118,1,2.5382,2,1
66,20,0,30,62,1,2.1599,2,1
67,20,0,20.4,29,0,0.8594,2,1
68,20,0,46,62,1,1.896,2,1
69,20,0,24,62,1,1.27,2,1
70,20,0,70,6,1,1.2462,2,1
71,20,0,56,29,1,0.9105,2,1
72,20,0,20.4,15,0,1.0771,2,1
73,20,0,41.4,29,1,4.8884,2,1
74,20,0,76,6,1,0.8211,2,1
75,20,0,70,15,1,0.6393,2,1
76,20,0,50,6,1,1.1333,2,1
77,20,0,24,29,1,3.4749,2,1
78,20,0,29.4,29,1,1.2572,2,1
79,20,0,21.6,29,0,3.5009,2,1
80,20,0,24,118,0,1.2013,2,1
81,20,0,56,62,1,3.0273,2,1
82,20,0,26.6,15,1,2.308,2,1
83,20,0,36.6,118,1,5.5294,2,1
84,20,0,34,15,1,2.2747,2,1
85,20,0,36.6,62,1,1.2889,2,1
86,20,0,56,6,1,0.8505,2,1
87,20,0,26.6,62,0,1.3419,2,1
88,20,0,29.4,6,1,3.8777,2,1
89,20,0,76,118,1,1.214,2,1
90,20,0,62,15,1,1.1586,2,1
91,20,0,56,2,1,1.0015,2,1
92,20,0,21.6,62,1,3.6797,2,1
93,20,0,50,29,1,0.5599,2,1
94,20,0,24,2,1,1.3135,2,1
95,20,0,21.6,2,1,1.7966,2,1
96,20,0,76,62,1,0.7706,2,1
1,20,0,77,122,1,2.778,10,1
2,20,0,29,31,1,2.3549,10,1
3,20,0,61,58,1,1.3332,10,1
4,20,0,33,1,1,1.4568,10,1
5,20,0,31,1,1,1.6473,10,1
6,20,0,21,58,0,2.4761,10,1
7,20,0,29,1,1,1.2174,10,1
8,20,0,69,58,1,1.5815,10,1
9,20,0,77,1,1,1.0463,10,1
10,20,0,21,13,0,1.8359,10,1
11,20,0,33,7,1,1.9255,10,1
12,20,0,37,122,1,1.4011,10,1
13,20,0,57,58,1,1.2453,10,1
14,20,0,29,122,1,1.8695,10,1
15,20,0,57,13,1,3.3317,10,1
16,20,0,21,1,0,1.0244,10,1
17,20,0,25,13,1,3.3448,10,1
18,20,0,21,1,1,1.9539,10,1
19,20,0,51,7,1,1.4341,10,1
20,20,0,61,1,1,0.8715,10,1
21,20,0,29,13,1,1.305,10,1
22,20,0,45,13,1,1.1289,10,1
23,20,0,21,31,0,2.4893,10,1
24,20,0,31,13,1,1.1045,10,1
25,20,0,57,1,1,1.003,10,1
26,20,0,57,122,1,1.5097,10,1
27,20,0,23,7,1,2.2731,10,1
28,20,0,61,7,1,0.9463,10,1
29,20,0,77,31,1,1.0491,10,1
30,20,0,37,58,1,1.8908,10,1
